<DOCUMENT>
<TYPE>13F-HR
<SEQUENCE>1
<FILENAME>13f_q4_2012_ren.txt
<DESCRIPTION>13F - Q4 2012
<TEXT>
                                  UNITED STATES
                       SECURITIES AND EXCHANGE COMMISSION
                             Washington, D.C. 20549

                                    FORM 13F

                               FORM 13F COVER PAGE

Report for the Calendar Year or Quarter Ended:  December 31, 2012
Check here if Amendment [ ]; Amendment Number:
This Amendment (Check only one.): [ ] is a restatement.
                                  [ ] adds new holdings entries.

Institutional Investment Manager Filing this report:

Name:    Renaissance Technologies LLC
Address: 800 Third Avenue
         33rd floor
         New York, NY 10022

13F File Number:  28-6262

The institutional investment manager filing this report and the person
by whom it is signed hereby represent that the person
signing the report is authorized to submit it, that all information
contained herein is true, correct and complete, and that it is
understood that all required items, statements, schedules, lists, and
tables, are considered integral parts of this form.


Person Signing this Report on Behalf of Reporting Manager:

Name:    Mark Silber
Title:   Executive Vice President
Phone    (212) 486-6780
Signature, Place, and Date of Signing:

       Mark Silber       New York, New York    February 14, 2013
Report Type (Check only one.):

[X]         13F HOLDINGS REPORT.
[ ]         13F NOTICE.
[ ]         13F COMBINATION REPORT.

I AM SIGNING THIS REPORT AS REQUIRED BY THE SECURITIES EXCHANGE ACT OF 1934.




                              FORM 13F SUMMARY PAGE


Report Summary:

Number of Other Included Managers:       0

Form 13F Information Table Entry Total:  2815
Form 13F Information Table Value (x $1000) Total:  $34361721

<TABLE>                        <C>                                          <C>
       FORM 13F INFORMATION TABLE
                                                         VALUE    SHARES/ SH/ PUT/ INVSTMT   OTHER         VOTING AUTHORITY
       NAME OF ISSUER         TITLE OF CLASS   CUSIP    (x1000)   PRN AMT PRN CALL DSCREIN  MANAGERS     SOLE    SHARED   NONE
AGRIUM INC                   COM              008916108    10685   107000 SH       SOLE                   16831        0    90169
AIR LEASE CORP               CL A             00912X302     6244   290400 SH       SOLE                  103418        0   186982
AIR METHODS CORP             COM PAR $.06     009128307     4603   124700 SH       SOLE                   20915        0   103785
AIR T INC                    COM              009207101      839    99100 SH       SOLE                   99100        0        0
AIRCASTLE LTD                COM              G0129K104      399    31800 SH       SOLE                      26        0    31774
AIRGAS INC                   COM              009363102     6034    66100 SH       SOLE                   66100        0        0
AIRMEDIA GROUP INC           SPONSORED ADR    009411109      696   362400 SH       SOLE                  362400        0        0
AK STL HLDG CORP             COM              001547108     2108   458200 SH       SOLE                   24778        0   433422
AKAMAI TECHNOLOGIES INC      COM              00971T101    16184   395600 SH       SOLE                   30275        0   365325
ALAMO GROUP INC              COM              011311107      536    16409 SH       SOLE                    8000        0     8409
ALASKA AIR GROUP INC         COM              011659109   181672  4216100 SH       SOLE                 4196000        0    20100
ALASKA COMMUNICATIONS SYS GR COM              01167P101      689   355000 SH       SOLE                  355000        0        0
ALBANY MOLECULAR RESH INC    COM              012423109     1732   327957 SH       SOLE                  286600        0    41357
ALCATEL-LUCENT               SPONSORED ADR    013904305     1167   839457 SH       SOLE                       0        0   839457
ALCOA INC                    COM              013817101    18015  2075500 SH       SOLE                   24671        0  2050829
ALEXANDER & BALDWIN INC NEW  COM              014491104     1078    36713 SH       SOLE                    6733        0    29980
ALEXANDERS INC               COM              014752109     3903    11800 SH       SOLE                   11800        0        0
ALEXANDRIA REAL ESTATE EQ IN COM              015271109    17801   256800 SH       SOLE                   43892        0   212908
ALEXCO RESOURCE CORP         COM              01535P106      400   112000 SH       SOLE                   62900        0    49100
ALEXION PHARMACEUTICALS INC  COM              015351109    43823   467500 SH       SOLE                  467500        0        0
ALICO INC                    COM              016230104     1377    37597 SH       SOLE                   28400        0     9197
ALKERMES PLC                 SHS              G01767105      829    44786 SH       SOLE                    6199        0    38587
ALLEGHANY CORP DEL           COM              017175100     1539     4588 SH       SOLE                       0        0     4588
ALLEGHENY TECHNOLOGIES INC   COM              01741R102    10823   356492 SH       SOLE                   13325        0   343167
ALLEGIANT TRAVEL CO          COM              01748X102    66781   909700 SH       SOLE                  909700        0        0
ALLERGAN INC                 COM              018490102    20520   223700 SH       SOLE                  223700        0        0
ALLIANCE DATA SYSTEMS CORP   COM              018581108    37782   261000 SH       SOLE                   94704        0   166296
ALLIANCE FIBER OPTIC PRODS I COM NEW          018680306     3139   261140 SH       SOLE                  261140        0        0
ALLIANCE FINANCIAL CORP NY   COM              019205103     1144    26300 SH       SOLE                   26300        0        0
ALLIANCE HOLDINGS GP LP      COM UNITS LP     01861G100      428     9000 SH       SOLE                       0        0     9000
ALLIANCE ONE INTL INC        COM              018772103      179    49100 SH       SOLE                   49100        0        0
ALLIANCE RES PARTNER L P     UT LTD PART      01877R108     2011    34645 SH       SOLE                       0        0    34645
ALLIANCEBERNSTEIN HOLDING LP UNIT LTD PARTN   01881G106      589    33800 SH       SOLE                       0        0    33800
ALLIANT ENERGY CORP          COM              018802108      413     9400 SH       SOLE                    9400        0        0
ALLIED MOTION TECHNOLOGIES I COM              019330109      226    34200 SH       SOLE                   34200        0        0
ALLIED WRLD ASSUR COM HLDG A SHS              H01531104     5295    67200 SH       SOLE                    9696        0    57504
ALLOT COMMUNICATIONS LTD     SHS              M0854Q105     4492   252100 SH       SOLE                  182979        0    69121
ALLSCRIPTS HEALTHCARE SOLUTN COM              01988P108     8709   924565 SH       SOLE                  176018        0   748547
ALLSTATE CORP                COM              020002101     4933   122800 SH       SOLE                    4116        0   118684
ALMOST FAMILY INC            COM              020409108      274    13500 SH       SOLE                       0        0    13500
ALON HLDGS BLUE SQUARE ISRAE SPONSORED ADR    02051Q106       46    19800 SH       SOLE                   19800        0        0
ALON USA ENERGY INC          COM              020520102    13296   735001 SH       SOLE                  451283        0   283718
ALPHA & OMEGA SEMICONDUCTOR  SHS              G6331P104      315    37500 SH       SOLE                   37500        0        0
ALPHA PRO TECH LTD           COM              020772109      272   190100 SH       SOLE                  190100        0        0
ALTERA CORP                  COM              021441100    84434  2455200 SH       SOLE                 2455200        0        0
ALTISOURCE PORTFOLIO SOLNS S REG SHS          L0175J104   106802  1232500 SH       SOLE                 1122805        0   109695
ALTISOURCE RESIDENTIAL CORP  CL B             02153W100     6132   387091 SH       SOLE                  364806        0    22285
ALTRA HOLDINGS INC           COM              02208R106      908    41200 SH       SOLE                   24900        0    16300
ALTRIA GROUP INC             COM              02209S103    45450  1445600 SH       SOLE                   81442        0  1364158
ALUMINA LTD                  SPONSORED ADR    022205108       51    13100 SH       SOLE                       0        0    13100
ALUMINUM CORP CHINA LTD      SPON ADR H SHS   022276109      214    18000 SH       SOLE                     100        0    17900
ALVARION LTD                 SHS              M0861T100       82   219100 SH       SOLE                  219100        0        0
AMAG PHARMACEUTICALS INC     COM              00163U106      562    38191 SH       SOLE                    3326        0    34865
AMAZON COM INC               COM              023135106    77783   310055 SH       SOLE                       0        0   310055
AMBASSADORS GROUP INC        COM              023177108     3328   781169 SH       SOLE                  765400        0    15769
AMBOW ED HLDG LTD            ADR REPSTG CL A  02322P101      340   151100 SH       SOLE                  151100        0        0
AMC NETWORKS INC             CL A             00164V103      995    20100 SH       SOLE                     800        0    19300
AMCOL INTL CORP              COM              02341W103      733    23900 SH       SOLE                    7887        0    16013
AMCON DISTRG CO              COM NEW          02341Q205      309     4800 SH       SOLE                    4800        0        0
AMEDISYS INC                 COM              023436108     1841   162801 SH       SOLE                  151838        0    10963
AMERCO                       COM              023586100     7541    59466 SH       SOLE                   36608        0    22858
AMEREN CORP                  COM              023608102     3868   125900 SH       SOLE                  125900        0        0
AMERESCO INC                 CL A             02361E108      125    12700 SH       SOLE                   12700        0        0
AMERICA FIRST TAX EX IVS L P BEN UNIT CTF     02364V107     1734   260022 SH       SOLE                       0        0   260022
AMERICA MOVIL SAB DE CV      SPON ADR A SHS   02364W204      204     8800 SH       SOLE                    8500        0      300
AMERICA MOVIL SAB DE CV      SPON ADR L SHS   02364W105    41254  1782800 SH       SOLE                  283158        0  1499642
AMERICAN ASSETS TR INC       COM              024013104      681    24374 SH       SOLE                      39        0    24335
AMERICAN CAMPUS CMNTYS INC   COM              024835100    10556   228828 SH       SOLE                   44535        0   184293
AMERICAN CAP MTG INVT CORP   COM              02504A104     6200   263051 SH       SOLE                   48535        0   214516
AMERICAN CAPITAL AGENCY CORP COM              02503X105   100333  3471729 SH       SOLE                 1116708        0  2355021
AMERICAN CARESOURCE HLDGS IN COM NEW          02505A202      132    92398 SH       SOLE                   92398        0        0
AMERICAN EAGLE OUTFITTERS NE COM              02553E106    56529  2756163 SH       SOLE                 1138094        0  1618069
AMERICAN EXPRESS CO          COM              025816109      339     5900 SH       SOLE                    5900        0        0
AMERICAN INTL GROUP INC      COM NEW          026874784    80892  2291560 SH       SOLE                    1202        0  2290358
AMERICAN LORAIN CORP         COM              027297100      123    96000 SH       SOLE                   96000        0        0
AMERICAN NATL INS CO         COM              028591105     1359    19900 SH       SOLE                    1636        0    18264
AMERICAN PAC CORP            COM              028740108     2810   182000 SH       SOLE                  182000        0        0
AMERICAN PUBLIC EDUCATION IN COM              02913V103     7116   197000 SH       SOLE                  197000        0        0
AMERICAN RAILCAR INDS INC    COM              02916P103     6673   210300 SH       SOLE                  210300        0        0
AMERICAN REPROGRAPHICS CO    COM              029263100      546   213325 SH       SOLE                  160600        0    52725
AMERICAN RLTY CAP PPTYS INC  COM              02917T104     1748   132000 SH       SOLE                    3045        0   128955
AMERICAN SCIENCE & ENGR INC  COM              029429107    20972   321611 SH       SOLE                  305795        0    15816
AMERICAN SOFTWARE INC        CL A             029683109    10242  1319808 SH       SOLE                 1319800        0        8
AMERICAN STS WTR CO          COM              029899101     8996   187500 SH       SOLE                  187500        0        0
AMERICAN SUPERCONDUCTOR CORP COM              030111108      315   120202 SH       SOLE                   37600        0    82602
AMERICAN TOWER CORP NEW      COM              03027X100     5448    70500 SH       SOLE                   70500        0        0
AMERICAN VANGUARD CORP       COM              030371108    15708   505566 SH       SOLE                  441700        0    63866
AMERICAN WOODMARK CORP       COM              030506109     6963   250301 SH       SOLE                  228300        0    22001
AMERICAN WTR WKS CO INC NEW  COM              030420103    28631   771100 SH       SOLE                  323387        0   447713
AMERISERV FINL INC           COM              03074A102      477   158400 SH       SOLE                  158400        0        0
AMERISTAR CASINOS INC        COM              03070Q101     3002   114400 SH       SOLE                   65980        0    48420
AMES NATL CORP               COM              031001100      212     9700 SH       SOLE                    9200        0      500
AMGEN INC                    COM              031162100    63383   735300 SH       SOLE                  735300        0        0
AMKOR TECHNOLOGY INC         COM              031652100      546   128826 SH       SOLE                   23939        0   104887
AMN HEALTHCARE SERVICES INC  COM              001744101     4571   395747 SH       SOLE                  173107        0   222640
AMPCO-PITTSBURGH CORP        COM              032037103      931    46600 SH       SOLE                   41700        0     4900
AMREP CORP NEW               COM              032159105      185    12400 SH       SOLE                   12400        0        0
AMSURG CORP                  COM              03232P405     2382    79369 SH       SOLE                   30116        0    49253
AMTECH SYS INC               COM PAR $0.01N   032332504      327   101569 SH       SOLE                   89100        0    12469
AMTRUST FINANCIAL SERVICES I COM              032359309     7057   245960 SH       SOLE                  101652        0   144308
ANADARKO PETE CORP           COM              032511107    41049   552400 SH       SOLE                    2500        0   549900
ANADIGICS INC                COM              032515108      296   117276 SH       SOLE                   17700        0    99576
ANALOG DEVICES INC           COM              032654105   138125  3284000 SH       SOLE                 3284000        0        0
ANALOGIC CORP                COM PAR $0.05    032657207    16209   218154 SH       SOLE                  162304        0    55850
ANALYSTS INTL CORP           COM NEW          032681207      279    87960 SH       SOLE                   87960        0        0
ANAREN INC                   COM              032744104     4104   211000 SH       SOLE                  211000        0        0
ANGIODYNAMICS INC            COM              03475V101     1764   160500 SH       SOLE                  160500        0        0
ANGLOGOLD ASHANTI LTD        SPONSORED ADR    035128206   101661  3240700 SH       SOLE                 2932800        0   307900
ANHEUSER BUSCH INBEV SA/NV   SPONSORED ADR    03524A108    27921   319423 SH       SOLE                  319423        0        0
ANIKA THERAPEUTICS INC       COM              035255108     3930   395343 SH       SOLE                  363600        0    31743
ANIXTER INTL INC             COM              035290105     8816   137800 SH       SOLE                   53588        0    84212
ANN INC                      COM              035623107    33393   986800 SH       SOLE                  986800        0        0
ANSYS INC                    COM              03662Q105     5436    80729 SH       SOLE                    2572        0    78157
ANWORTH MORTGAGE ASSET CP    COM              037347101     2096   362700 SH       SOLE                  152692        0   210008
AOL INC                      COM              00184X105    40646  1372700 SH       SOLE                  870667        0   502033
APACHE CORP                  COM              037411105    46515   592554 SH       SOLE                       0        0   592554
APARTMENT INVT & MGMT CO     CL A             03748R101    10082   372585 SH       SOLE                   42535        0   330050
APCO OIL & GAS INTERNATIONAL SHS              G0471F109      691    56100 SH       SOLE                   56100        0        0
APOGEE ENTERPRISES INC       COM              037598109     3864   161184 SH       SOLE                  106016        0    55168
APOLLO COML REAL EST FIN INC COM              03762U105     3358   206900 SH       SOLE                  206900        0        0
APOLLO GROUP INC             CL A             037604105    10444   499225 SH       SOLE                    5624        0   493601
APOLLO RESIDENTIAL MTG INC   COM              03763V102     4708   233200 SH       SOLE                   46408        0   186792
APPLE INC                    COM              037833100   210995   396478 SH       SOLE                   31235        0   365243
APPLIANCE RECYCLING CTRS AME COM NEW          03814F205       57    42800 SH       SOLE                   42800        0        0
APPLIED INDL TECHNOLOGIES IN COM              03820C105     9601   228550 SH       SOLE                  103202        0   125348
ARBITRON INC                 COM              03875Q108    10228   219100 SH       SOLE                  219100        0        0
ARCA BIOPHARMA INC           COM              00211Y100       67   175500 SH       SOLE                  175500        0        0
ARCOS DORADOS HOLDINGS INC   SHS CLASS -A -   G0457F107     3193   267000 SH       SOLE                   25671        0   241329
ARCTIC CAT INC               COM              039670104     2344    70200 SH       SOLE                   41300        0    28900
ARDEN GROUP INC              CL A             039762109      603     6700 SH       SOLE                    6700        0        0
ARGAN INC                    COM              04010E109     4790   266100 SH       SOLE                  242900        0    23200
ARK RESTAURANTS CORP         COM              040712101      303    18000 SH       SOLE                   18000        0        0
ARKANSAS BEST CORP DEL       COM              040790107     4292   449435 SH       SOLE                  230800        0   218635
ARLINGTON ASSET INVT CORP    CL A NEW         041356205      523    25175 SH       SOLE                       0        0    25175
ARMOUR RESIDENTIAL REIT INC  COM              042315101     5605   866322 SH       SOLE                   23400        0   842922
AROTECH CORP                 COM NEW          042682203      163   158400 SH       SOLE                  158400        0        0
ARQULE INC                   COM              04269E107      482   172737 SH       SOLE                   44171        0   128566
ARRAY BIOPHARMA INC          COM              04269X105     2015   541652 SH       SOLE                  377000        0   164652
ARRHYTHMIA RESH TECHNOLOGY I COM PAR $0.01    042698308      130    56400 SH       SOLE                   56400        0        0
ARRIS GROUP INC              COM              04269Q100    14140   946420 SH       SOLE                  857806        0    88614
ARROW FINL CORP              COM              042744102     2556   102435 SH       SOLE                  102435        0        0
ARTESIAN RESOURCES CORP      CL A             043113208      563    25100 SH       SOLE                   25100        0        0
ARTHROCARE CORP              COM              043136100    15189   439129 SH       SOLE                  393000        0    46129
ARTIO GLOBAL INVS INC        COM CL A         04315B107      721   379436 SH       SOLE                  302461        0    76975
ARUBA NETWORKS INC           COM              043176106    20989  1012000 SH       SOLE                  274903        0   737097
ASBURY AUTOMOTIVE GROUP INC  COM              043436104     1156    36100 SH       SOLE                     546        0    35554
ASCENA RETAIL GROUP INC      COM              04351G101    34139  1848324 SH       SOLE                 1004844        0   843480
ASCENT CAP GROUP INC         COM SER A        043632108     6671   107700 SH       SOLE                   82300        0    25400
ASCENT SOLAR TECHNOLOGIES IN COM              043635101       37    59800 SH       SOLE                   59800        0        0
ASHLAND INC NEW              COM              044209104    34695   431475 SH       SOLE                  127942        0   303533
ASIA ENTN & RESOURCES LTD    SHS              G0539K108       94    30600 SH       SOLE                      37        0    30563
ASIAINFO-LINKAGE INC         COM              04518A104      202    18600 SH       SOLE                   18600        0        0
ASML HOLDING N V             N Y REGISTRY SHS N07059210    19058   295981 SH       SOLE                    3585        0   292396
ASPEN INSURANCE HOLDINGS LTD SHS              G05384105     8549   266500 SH       SOLE                   91364        0   175136
ASPEN TECHNOLOGY INC         COM              045327103     9635   348600 SH       SOLE                  222326        0   126274
ASSET ACCEP CAP CORP         COM              04543P100      117    26000 SH       SOLE                   20100        0     5900
ASSOCIATED BANC CORP         COM              045487105     2272   173179 SH       SOLE                   13504        0   159675
ASSURED GUARANTY LTD         COM              G0585R106    15457  1086200 SH       SOLE                  334324        0   751876
ASTA FDG INC                 COM              046220109     1085   114100 SH       SOLE                  114100        0        0
ASTEA INTL INC               COM NEW          04622E208      474   176700 SH       SOLE                  176700        0        0
ASTEX PHARMACEUTICALS INC    COM              04624B103     1445   496408 SH       SOLE                  484400        0    12008
ASTRAZENECA PLC              SPONSORED ADR    046353108   118293  2502500 SH       SOLE                 2462589        0    39911
ASTRO-MED INC NEW            COM              04638F108      745    73850 SH       SOLE                   73850        0        0
ASTRONICS CORP               COM              046433108      427    18674 SH       SOLE                     500        0    18174
ASTROTECH CORP               COM              046484101      209   232200 SH       SOLE                  232200        0        0
ASURE SOFTWARE INC           COM              04649U102     1516   258276 SH       SOLE                  258276        0        0
AT&T INC                     COM              00206R102      668    19804 SH       SOLE                      65        0    19739
ATA INC                      SPONS ADR        00211V106      299    42900 SH       SOLE                   42900        0        0
ATHENAHEALTH INC             COM              04685W103     7219    98500 SH       SOLE                   30200        0    68300
ATLANTIC PWR CORP            COM NEW          04878Q863     4490   392800 SH       SOLE                       0        0   392800
ATLANTIC TELE NETWORK INC    COM NEW          049079205     2541    69210 SH       SOLE                   47900        0    21310
ATLAS ENERGY LP              COM UNITS LP     04930A104     1133    32612 SH       SOLE                       0        0    32612
ATLAS RESOURCE PARTNERS LP   COM UNT LTD PR   04941A101      225    10000 SH       SOLE                       0        0    10000
ATLATSA RES CORP             COM              049477102        9    56600 SH       SOLE                   56600        0        0
ATMEL CORP                   COM              049513104     5487   837700 SH       SOLE                      23        0   837677
ATMOS ENERGY CORP            COM              049560105     6262   178300 SH       SOLE                   88500        0    89800
ATRICURE INC                 COM              04963C209      833   120700 SH       SOLE                  120700        0        0
ATRION CORP                  COM              049904105     1215     6200 SH       SOLE                    6200        0        0
ATWOOD OCEANICS INC          COM              050095108    13055   285100 SH       SOLE                  105931        0   179169
AU OPTRONICS CORP            SPONSORED ADR    002255107     1657   368234 SH       SOLE                  116184        0   252050
AUDIENCE INC                 COM              05070J102      661    63578 SH       SOLE                    5100        0    58478
AUDIOCODES LTD               ORD              M15342104     4190  1301100 SH       SOLE                 1301100        0        0
AURIZON MINES LTD            COM              05155P106    16727  4806500 SH       SOLE                 4482500        0   324000
AUTHENTIDATE HLDG CORP       COM NEW          052666203      119   126200 SH       SOLE                  126200        0        0
AUTOBYTEL INC                COM NEW          05275N205      885   222380 SH       SOLE                  222380        0        0
AUTONAVI HLDGS LTD           SPONSORED ADR    05330F106     1778   156800 SH       SOLE                  156800        0        0
AUTOZONE INC                 COM              053332102   135286   381700 SH       SOLE                  273697        0   108003
AUXILIUM PHARMACEUTICALS INC COM              05334D107    15927   859100 SH       SOLE                  598229        0   260871
AV HOMES INC                 COM              00234P102      569    40000 SH       SOLE                   38700        0     1300
AVAGO TECHNOLOGIES LTD       SHS              Y0486S104    58845  1859200 SH       SOLE                 1859200        0        0
AVEO PHARMACEUTICALS INC     COM              053588109     1685   209300 SH       SOLE                   40733        0   168567
AVIAT NETWORKS INC           COM              05366Y102     2302   699695 SH       SOLE                  611790        0    87905
AVID TECHNOLOGY INC          COM              05367P100      312    41100 SH       SOLE                   41100        0        0
AVX CORP NEW                 COM              002444107     2072   192200 SH       SOLE                   96100        0    96100
AWARE INC MASS               COM              05453N100     2133   389263 SH       SOLE                  319822        0    69441
AXT INC                      COM              00246W103      260    92349 SH       SOLE                   41539        0    50810
AZZ INC                      COM              002474104     4104   106800 SH       SOLE                   85900        0    20900
B & G FOODS INC NEW          COM              05508R106      439    15500 SH       SOLE                   15500        0        0
BADGER METER INC             COM              056525108      901    19000 SH       SOLE                     271        0    18729
BAKER HUGHES INC             COM              057224107    29624   725240 SH       SOLE                  137287        0   587953
BAKER MICHAEL CORP           COM              057149106     3807   152700 SH       SOLE                  152700        0        0
BALCHEM CORP                 COM              057665200     7115   195202 SH       SOLE                  181227        0    13975
BALDWIN & LYONS INC          CL B             057755209     1711    71700 SH       SOLE                   71400        0      300
