<DOCUMENT>
<TYPE>13F-HR
<SEQUENCE>1
<FILENAME>ren_13f_q3_2012.txt
<DESCRIPTION>13F Q3 2012
<TEXT>
                                  UNITED STATES
                       SECURITIES AND EXCHANGE COMMISSION
                             Washington, D.C. 20549

                                    FORM 13F

                               FORM 13F COVER PAGE

Report for the Calendar Year or Quarter Ended:  September 30, 2012
Check here if Amendment [ ]; Amendment Number:
This Amendment (Check only one.): [ ] is a restatement.
                                  [ ] adds new holdings entries.

Institutional Investment Manager Filing this report:

Name:    Renaissance Technologies, L.L.C.
Address: 800 Third Avenue
         33rd floor
         New York, NY 10022

13F File Number:  28-6262

The institutional investment manager filing this report and the person
by whom it is signed hereby represent that the person
signing the report is authorized to submit it, that all information
contained herein is true, correct and complete, and that it is
understood that all required items, statements, schedules, lists, and
tables, are considered integral parts of this form.


Person Signing this Report on Behalf of Reporting Manager:

Name:    Mark Silber
Title:   Executive Vice President
Phone    (212) 486-6780
Signature, Place, and Date of Signing:

       Mark Silber       New York, New York    November 13, 2012
Report Type (Check only one.):

[X]         13F HOLDINGS REPORT.
[ ]         13F NOTICE.
[ ]         13F COMBINATION REPORT.

I AM SIGNING THIS REPORT AS REQUIRED BY THE SECURITIES EXCHANGE ACT OF 1934.




                              FORM 13F SUMMARY PAGE


Report Summary:

Number of Other Included Managers:       0

Form 13F Information Table Entry Total:  2802
Form 13F Information Table Value (x $1000) Total:  $32566460

<TABLE>                        <C>                                          <C>
       FORM 13F INFORMATION TABLE
                                                         VALUE    SHARES/ SH/ PUT/ INVSTMT   OTHER         VOTING AUTHORITY
       NAME OF ISSUER         TITLE OF CLASS   CUSIP    (x1000)   PRN AMT PRN CALL DSCREIN  MANAGERS     SOLE    SHARED   NONE
ACCRETIVE HEALTH INC         COM              00438V103      353    31600 SH       SOLE                     500        0    31100
ACCURIDE CORP NEW            COM NEW          00439T206      491   105313 SH       SOLE                       0        0   105313
ACE LTD                      SHS              H0023R105    50826   672300 SH       SOLE                   91375        0   580925
ACME PACKET INC              COM              004764106    10074   589100 SH       SOLE                   43135        0   545965
ACME UTD CORP                COM              004816104      639    54100 SH       SOLE                   54100        0        0
ACORDA THERAPEUTICS INC      COM              00484M106    15940   622400 SH       SOLE                  494788        0   127612
ACORN INTL INC               SPON ADR         004854105      439   165802 SH       SOLE                  165802        0        0
ACTIONS SEMICONDUCTOR CO LTD ADR              00507E107     2591  1609400 SH       SOLE                 1609400        0        0
ACTIVE NETWORK INC           COM              00506D100     2450   195500 SH       SOLE                  195500        0        0
ACTUANT CORP                 CL A NEW         00508X203    10775   376500 SH       SOLE                   94544        0   281956
ACTUATE CORP                 COM              00508B102    12429  1768000 SH       SOLE                 1768000        0        0
ACUITY BRANDS INC            COM              00508Y102    12455   196800 SH       SOLE                   54031        0   142769
ACXIOM CORP                  COM              005125109     9669   529245 SH       SOLE                  409188        0   120057
ADAMS RES & ENERGY INC       COM NEW          006351308     6265   205400 SH       SOLE                  202900        0     2500
ADCARE HEALTH SYSTEMS INC    COM NEW          00650W300      104    21400 SH       SOLE                     100        0    21300
ADDVANTAGE TECHNOLOGIES GP I COM NEW          006743306      237   107900 SH       SOLE                  107900        0        0
ADEPT TECHNOLOGY INC         COM NEW          006854202       98    24600 SH       SOLE                   24600        0        0
ADMINISTRADORA FONDOS PENSIO SPONSORED ADR    00709P108    24773   270800 SH       SOLE                  266100        0     4700
ADOBE SYS INC                COM              00724F101      830    25600 SH       SOLE                   25600        0        0
ADTRAN INC                   COM              00738A106     4649   269028 SH       SOLE                     200        0   268828
ADVANCE AUTO PARTS INC       COM              00751Y106    19297   281950 SH       SOLE                    1800        0   280150
ADVANCED ENERGY INDS         COM              007973100      741    60122 SH       SOLE                   43000        0    17122
ADVANCED MICRO DEVICES INC   COM              007903107      685   203226 SH       SOLE                       0        0   203226
ADVANCED PHOTONIX INC        CL A             00754E107      117   195300 SH       SOLE                  195300        0        0
ADVANTEST CORP               SPON ADR NEW     00762U200     1330   102900 SH       SOLE                  102900        0        0
ADVENT SOFTWARE INC          COM              007974108     1587    64600 SH       SOLE                   64600        0        0
ADVISORY BRD CO              COM              00762W107     4177    87340 SH       SOLE                    8627        0    78713
ADVOCAT INC                  COM              007586100      371    63100 SH       SOLE                   63100        0        0
AEHR TEST SYSTEMS            COM              00760J108       51    47200 SH       SOLE                   47200        0        0
AEP INDS INC                 COM              001031103     3757    62000 SH       SOLE                   44300        0    17700
AEROCENTURY CORP             COM              007737109      149    11900 SH       SOLE                   11900        0        0
AEROFLEX HLDG CORP           COM              007767106      350    52800 SH       SOLE                      46        0    52754
AEROPOSTALE                  COM              007865108      650    48012 SH       SOLE                       0        0    48012
AEROVIRONMENT INC            COM              008073108     7096   302536 SH       SOLE                   94758        0   207778
AETERNA ZENTARIS INC         COM              007975204      105   149830 SH       SOLE                      94        0   149736
AETNA INC NEW                COM              00817Y108    31545   796600 SH       SOLE                       9        0   796591
AETRIUM INC                  COM              00817R103      182   194000 SH       SOLE                  194000        0        0
AFC ENTERPRISES INC          COM              00104Q107    11754   477821 SH       SOLE                  476400        0     1421
AFFYMAX INC                  COM              00826A109     3330   158100 SH       SOLE                       0        0   158100
AFFYMETRIX INC               COM              00826T108      487   112200 SH       SOLE                  112200        0        0
AG MTG INVT TR INC           COM              001228105      528    21900 SH       SOLE                       0        0    21900
AGCO CORP                    COM              001084102    15939   335700 SH       SOLE                      58        0   335642
AGENUS INC                   COM NEW          00847G705      355    77031 SH       SOLE                    1083        0    75948
AGILENT TECHNOLOGIES INC     COM              00846U101    11985   311700 SH       SOLE                       0        0   311700
AGILYSYS INC                 COM              00847J105     1356   157652 SH       SOLE                  147200        0    10452
AGL RES INC                  COM              001204106     7309   178661 SH       SOLE                   47252        0   131409
AGNICO EAGLE MINES LTD       COM              008474108    20899   402827 SH       SOLE                  397800        0     5027
AGREE REALTY CORP            COM              008492100      956    37500 SH       SOLE                   37500        0        0
AGRIA CORP                   SPONSORED ADR    00850H103       15    20500 SH       SOLE                   20500        0        0
AIR LEASE CORP               CL A             00912X302     2438   119500 SH       SOLE                       0        0   119500
AIR METHODS CORP             COM PAR $.06     009128307     2041    17100 SH       SOLE                     195        0    16905
AIR T INC                    COM              009207101      832    99000 SH       SOLE                   99000        0        0
AIR TRANSPORT SERVICES GRP I COM              00922R105       62    14000 SH       SOLE                   14000        0        0
AIRCASTLE LTD                COM              G0129K104     5972   527100 SH       SOLE                  339912        0   187188
AIRGAS INC                   COM              009363102    28945   351700 SH       SOLE                   83640        0   268060
AIRMEDIA GROUP INC           SPONSORED ADR    009411109      663   350600 SH       SOLE                  350600        0        0
ALASKA AIR GROUP INC         COM              011659109   132260  3772400 SH       SOLE                 3772400        0        0
ALASKA COMMUNICATIONS SYS GR COM              01167P101      855   378340 SH       SOLE                  212640        0   165700
ALBANY MOLECULAR RESH INC    COM              012423109      921   265342 SH       SOLE                  228600        0    36742
ALBEMARLE CORP               COM              012653101    18375   348800 SH       SOLE                    2306        0   346494
ALCATEL-LUCENT               SPONSORED ADR    013904305     2533  2302900 SH       SOLE                       0        0  2302900
ALEXANDERS INC               COM              014752109     4189     9800 SH       SOLE                    9800        0        0
ALEXCO RESOURCE CORP         COM              01535P106      198    45600 SH       SOLE                    6700        0    38900
ALEXION PHARMACEUTICALS INC  COM              015351109    94500   826052 SH       SOLE                  635500        0   190552
ALEXZA PHARMACEUTICALS INC   COM NEW          015384209      696   158201 SH       SOLE                       0        0   158201
ALICO INC                    COM              016230104      653    20897 SH       SOLE                   18000        0     2897
ALIGN TECHNOLOGY INC         COM              016255101    11416   308781 SH       SOLE                   19725        0   289056
ALKERMES PLC                 SHS              G01767105     2955   142386 SH       SOLE                       0        0   142386
ALLEGHENY TECHNOLOGIES INC   COM              01741R102    27718   868892 SH       SOLE                   76650        0   792242
ALLEGIANT TRAVEL CO          COM              01748X102    50821   802100 SH       SOLE                  802100        0        0
ALLERGAN INC                 COM              018490102    16975   185360 SH       SOLE                   16600        0   168760
ALLETE INC                   COM NEW          018522300     1532    36699 SH       SOLE                     400        0    36299
ALLIANCE DATA SYSTEMS CORP   COM              018581108    27138   191180 SH       SOLE                    4981        0   186199
ALLIANCE FIBER OPTIC PRODS I COM NEW          018680306     2228   247840 SH       SOLE                  247840        0        0
ALLIANCE FINANCIAL CORP NY   COM              019205103      438    10900 SH       SOLE                   10900        0        0
ALLIANCE HEALTHCARE SRVCS IN COM NEW          018606202      442   313700 SH       SOLE                  313700        0        0
ALLIANCE ONE INTL INC        COM              018772103      336   104000 SH       SOLE                  104000        0        0
ALLIANCE RES PARTNER L P     UT LTD PART      01877R108     1837    30645 SH       SOLE                       0        0    30645
ALLIANCEBERNSTEIN HOLDING LP UNIT LTD PARTN   01881G106      307    19900 SH       SOLE                       0        0    19900
ALLIANT TECHSYSTEMS INC      COM              018804104     8613   171883 SH       SOLE                   45588        0   126295
ALLIED MOTION TECHNOLOGIES I COM              019330109      197    29800 SH       SOLE                   29800        0        0
ALLIED WRLD ASSUR COM HLDG A SHS              H01531104      270     3500 SH       SOLE                     100        0     3400
ALLOT COMMUNICATIONS LTD     SHS              M0854Q105    14583   549900 SH       SOLE                  549900        0        0
ALLSCRIPTS HEALTHCARE SOLUTN COM              01988P108    20801  1674765 SH       SOLE                  614497        0  1060268
ALLSTATE CORP                COM              020002101    29557   746200 SH       SOLE                       0        0   746200
ALMOST FAMILY INC            COM              020409108      813    38200 SH       SOLE                    1257        0    36943
ALON HLDGS BLUE SQUARE ISRAE SPONSORED ADR    02051Q106       39    19700 SH       SOLE                   19700        0        0
ALON USA ENERGY INC          COM              020520102     6801   496401 SH       SOLE                  202649        0   293752
ALPHA & OMEGA SEMICONDUCTOR  SHS              G6331P104      287    33300 SH       SOLE                   33300        0        0
ALPHA NATURAL RESOURCES INC  COM              02076X102     9418  1433473 SH       SOLE                       0        0  1433473
ALPHA PRO TECH LTD           COM              020772109      274   188800 SH       SOLE                  188800        0        0
ALTERA CORP                  COM              021441100   131764  3875400 SH       SOLE                 3875400        0        0
ALTISOURCE PORTFOLIO SOLNS S REG SHS          L0175J104    83513   968261 SH       SOLE                  951681        0    16580
ALTRIA GROUP INC             COM              02209S103   127713  3824900 SH       SOLE                 2264600        0  1560300
ALUMINA LTD                  SPONSORED ADR    022205108       69    20200 SH       SOLE                   20200        0        0
ALVARION LTD                 SHS              M0861T100      108   219600 SH       SOLE                  219600        0        0
AMAG PHARMACEUTICALS INC     COM              00163U106      357    20100 SH       SOLE                    9378        0    10722
AMBASSADORS GROUP INC        COM              023177108     4292   794730 SH       SOLE                  761651        0    33079
AMBOW ED HLDG LTD            ADR REPSTG CL A  02322P101      502   169001 SH       SOLE                  169001        0        0
AMC NETWORKS INC             CL A             00164V103     4852   111500 SH       SOLE                    9728        0   101772
AMCON DISTRG CO              COM NEW          02341Q205      306     4700 SH       SOLE                    4700        0        0
AMEDISYS INC                 COM              023436108     3338   241500 SH       SOLE                  241500        0        0
AMERCO                       COM              023586100     4953    46566 SH       SOLE                   22008        0    24558
AMEREN CORP                  COM              023608102     5436   166400 SH       SOLE                   83200        0    83200
AMERESCO INC                 CL A             02361E108      287    24300 SH       SOLE                   24300        0        0
AMERICA FIRST TAX EX IVS L P BEN UNIT CTF     02364V107     1413   235500 SH       SOLE                       0        0   235500
AMERICA MOVIL SAB DE CV      SPON ADR A SHS   02364W204      202     8300 SH       SOLE                    8300        0        0
AMERICAN CAMPUS CMNTYS INC   COM              024835100    11349   258628 SH       SOLE                   23719        0   234909
AMERICAN CAPITAL AGENCY CORP COM              02503X105    71869  2077153 SH       SOLE                   42300        0  2034853
AMERICAN CARESOURCE HLDGS IN COM NEW          02505A202      139    91098 SH       SOLE                   91098        0        0
AMERICAN EAGLE OUTFITTERS NE COM              02553E106    33497  1589063 SH       SOLE                   94758        0  1494305
AMERICAN GREETINGS CORP      CL A             026375105     1855   110400 SH       SOLE                    4118        0   106282
AMERICAN INTL GROUP INC      COM NEW          026874784    22302   680160 SH       SOLE                       0        0   680160
AMERICAN LORAIN CORP         COM              027297100       96    76700 SH       SOLE                   76700        0        0
AMERICAN NATL BANKSHARES INC COM              027745108      208     9200 SH       SOLE                    5100        0     4100
AMERICAN NATL INS CO         COM              028591105     1314    18300 SH       SOLE                    7192        0    11108
AMERICAN PAC CORP            COM              028740108     2040   170600 SH       SOLE                  170600        0        0
AMERICAN PUBLIC EDUCATION IN COM              02913V103     9880   271200 SH       SOLE                  271200        0        0
AMERICAN RAILCAR INDS INC    COM              02916P103     5654   199500 SH       SOLE                  199500        0        0
AMERICAN REPROGRAPHICS CO    COM              029263100      545   127700 SH       SOLE                  127700        0        0
AMERICAN RLTY CAP PPTYS INC  COM              02917T104     2064   165101 SH       SOLE                   33495        0   131606
AMERICAN SCIENCE & ENGR INC  COM              029429107    22243   339011 SH       SOLE                  310621        0    28390
AMERICAN SOFTWARE INC        CL A             029683109    10397  1274133 SH       SOLE                 1269300        0     4833
AMERICAN STS WTR CO          COM              029899101     5851   131700 SH       SOLE                  118500        0    13200
AMERICAN SUPERCONDUCTOR CORP COM              030111108      310    74594 SH       SOLE                     619        0    73975
AMERICAN TOWER CORP NEW      COM              03027X100     2263    31700 SH       SOLE                   31700        0        0
AMERICAN VANGUARD CORP       COM              030371108    13870   398566 SH       SOLE                  280254        0   118312
AMERICAN WOODMARK CORP       COM              030506109     4577   229201 SH       SOLE                  219274        0     9927
AMERICAN WTR WKS CO INC NEW  COM              030420103    30901   833808 SH       SOLE                  388139        0   445669
AMERIGROUP CORP              COM              03073T102    23461   256600 SH       SOLE                   33381        0   223219
AMERISERV FINL INC           COM              03074A102      458   154300 SH       SOLE                  154300        0        0
AMERISTAR CASINOS INC        COM              03070Q101     4673   262500 SH       SOLE                  147904        0   114596
AMGEN INC                    COM              031162100    16302   193400 SH       SOLE                  193400        0        0
AMN HEALTHCARE SERVICES INC  COM              001744101     1371   136295 SH       SOLE                   16600        0   119695
AMPCO-PITTSBURGH CORP        COM              032037103      963    52200 SH       SOLE                   40500        0    11700
AMPHENOL CORP NEW            CL A             032095101     1019    17300 SH       SOLE                     100        0    17200
AMREP CORP NEW               COM              032159105      175    17500 SH       SOLE                   17500        0        0
AMSURG CORP                  COM              03232P405     2048    72169 SH       SOLE                   12797        0    59372
AMTECH SYS INC               COM PAR $0.01N   032332504      170    51500 SH       SOLE                   51500        0        0
AMTRUST FINANCIAL SERVICES I COM              032359309     1411    55060 SH       SOLE                     500        0    54560
ANADARKO PETE CORP           COM              032511107    79233  1133200 SH       SOLE                   39337        0  1093863
ANADIGICS INC                COM              032515108      127    91602 SH       SOLE                   23708        0    67894
ANALOG DEVICES INC           COM              032654105   145692  3719000 SH       SOLE                 3719000        0        0
ANALOGIC CORP                COM PAR $0.05    032657207    11187   143354 SH       SOLE                   88463        0    54891
ANALYSTS INTL CORP           COM NEW          032681207      342    87760 SH       SOLE                   87760        0        0
ANAREN INC                   COM              032744104     4184   209300 SH       SOLE                  209300        0        0
ANGIODYNAMICS INC            COM              03475V101     3282   269045 SH       SOLE                  220800        0    48245
ANGLOGOLD ASHANTI LTD        SPONSORED ADR    035128206   128336  3661500 SH       SOLE                 2840684        0   820816
ANIKA THERAPEUTICS INC       COM              035255108     5663   377000 SH       SOLE                  377000        0        0
ANIXTER INTL INC             COM              035290105      931    16200 SH       SOLE                      40        0    16160
ANN INC                      COM              035623107    56254  1490950 SH       SOLE                 1073136        0   417814
AOL INC                      COM              00184X105    56280  1597500 SH       SOLE                  687593        0   909907
APACHE CORP                  COM              037411105     9170   106054 SH       SOLE                       0        0   106054
APARTMENT INVT & MGMT CO     CL A             03748R101    11776   453085 SH       SOLE                   40338        0   412747
APCO OIL & GAS INTERNATIONAL SHS              G0471F109      792    49200 SH       SOLE                   39309        0     9891
API TECHNOLOGIES CORP        COM NEW          00187E203       46    16000 SH       SOLE                       0        0    16000
APOGEE ENTERPRISES INC       COM              037598109     2247   114352 SH       SOLE                   89500        0    24852
APOLLO COML REAL EST FIN INC COM              03762U105     3783   218160 SH       SOLE                  143200        0    74960
APOLLO GROUP INC             CL A             037604105    28427   978547 SH       SOLE                  373510        0   605037
APOLLO RESIDENTIAL MTG INC   COM              03763V102     3582   162500 SH       SOLE                       0        0   162500
APPLE INC                    COM              037833100   248566   372604 SH       SOLE                   82400        0   290204
APPLIANCE RECYCLING CTRS AME COM NEW          03814F205      128    38800 SH       SOLE                   38800        0        0
APPLIED INDL TECHNOLOGIES IN COM              03820C105     8151   196750 SH       SOLE                   60448        0   136302
APPLIED MICRO CIRCUITS CORP  COM NEW          03822W406     1290   254936 SH       SOLE                       0        0   254936
ARBITRON INC                 COM              03875Q108     7383   194800 SH       SOLE                  192900        0     1900
ARBOR RLTY TR INC            COM              038923108      138    23068 SH       SOLE                       0        0    23068
ARCA BIOPHARMA INC           COM              00211Y100       56   162700 SH       SOLE                  162700        0        0
ARCOS DORADOS HOLDINGS INC   SHS CLASS -A -   G0457F107     6558   425000 SH       SOLE                    9936        0   415064
ARCTIC CAT INC               COM              039670104     6547   157900 SH       SOLE                   95094        0    62806
ARDEN GROUP INC              CL A             039762109      563     5800 SH       SOLE                    5800        0        0
ARGAN INC                    COM              04010E109     2495   143000 SH       SOLE                  137700        0     5300
ARIBA INC                    COM NEW          04033V203     5544   123754 SH       SOLE                    4900        0   118854
ARK RESTAURANTS CORP         COM              040712101      243    14400 SH       SOLE                   14400        0        0
ARKANSAS BEST CORP DEL       COM              040790107     5298   668135 SH       SOLE                  377246        0   290889
ARLINGTON ASSET INVT CORP    CL A NEW         041356205     3116   130580 SH       SOLE                       0        0   130580
ARMOUR RESIDENTIAL REIT INC  COM              042315101    22959  2997261 SH       SOLE                  206975        0  2790286
AROTECH CORP                 COM NEW          042682203      151   159200 SH       SOLE                  159200        0        0
ARQULE INC                   COM              04269E107      445    87163 SH       SOLE                       0        0    87163
ARRAY BIOPHARMA INC          COM              04269X105     8850  1514109 SH       SOLE                 1070008        0   444101
ARRHYTHMIA RESH TECHNOLOGY I COM PAR $0.01    042698308      123    56100 SH       SOLE                   56100        0        0
ARRIS GROUP INC              COM              04269Q100     6103   477200 SH       SOLE                  477200        0        0
ARROW FINL CORP              COM              042744102     2681   107234 SH       SOLE                  107234        0        0
ARTESIAN RESOURCES CORP      CL A             043113208      488    21000 SH       SOLE                   21000        0        0
ARTHROCARE CORP              COM              043136100    13106   404500 SH       SOLE                  404500        0        0
ARTIO GLOBAL INVS INC        COM CL A         04315B107     1172   393445 SH       SOLE                  233400        0   160045
ARUBA NETWORKS INC           COM              043176106    23328  1037500 SH       SOLE                  149535        0   887965
ASBURY AUTOMOTIVE GROUP INC  COM              043436104     1411    50500 SH       SOLE                       0        0    50500
ASCENA RETAIL GROUP INC      COM              04351G101    30880  1439624 SH       SOLE                  690866        0   748758
ASCENT CAP GROUP INC         COM SER A        043632108     2744    50800 SH       SOLE                   37300        0    13500
ASCENT SOLAR TECHNOLOGIES IN COM              043635101       87    83600 SH       SOLE                   83600        0        0
ASHLAND INC NEW              COM              044209104     8905   124375 SH       SOLE                       0        0   124375
ASIA ENTN & RESOURCES LTD    SHS              G0539K108       74    24432 SH       SOLE                       0        0    24432
ASML HOLDING N V             NY REG SHS       N07059186    13116   244339 SH       SOLE                     600        0   243739
ASPEN INSURANCE HOLDINGS LTD SHS              G05384105     4549   149200 SH       SOLE                   14341        0   134859
ASPEN TECHNOLOGY INC         COM              045327103     5457   211200 SH       SOLE                   36817        0   174383
ASPENBIO PHARMA INC          COM PAR$.001     045346301      127    45785 SH       SOLE                   45785        0        0
ASSET ACCEP CAP CORP         COM              04543P100      219    29400 SH       SOLE                   29400        0        0
ASSOCIATED BANC CORP         COM              045487105     3221   244779 SH       SOLE                   37020        0   207759
ASSOCIATED ESTATES RLTY CORP COM              045604105      371    24500 SH       SOLE                       0        0    24500
ASSURED GUARANTY LTD         COM              G0585R106    14662  1076500 SH       SOLE                  109729        0   966771
ASTA FDG INC                 COM              046220109     1194   127200 SH       SOLE                  126200        0     1000
ASTEA INTL INC               COM NEW          04622E208      711   179200 SH       SOLE                  179200        0        0
ASTEX PHARMACEUTICALS INC    COM              04624B103     2523   819035 SH       SOLE                  691700        0   127335
ASTRAZENECA PLC              SPONSORED ADR    046353108   120277  2513100 SH       SOLE                 2513100        0        0
ASTRO-MED INC NEW            COM              04638F108      636    73150 SH       SOLE                   73150        0        0
ASTROTECH CORP               COM              046484101      220   225100 SH       SOLE                  225100        0        0
ASURE SOFTWARE INC           COM              04649U102     1773   255076 SH       SOLE                  255076        0        0
ATA INC                      SPONS ADR        00211V106      214    39300 SH       SOLE                   39300        0        0
ATHENAHEALTH INC             COM              04685W103    11627   126700 SH       SOLE                   23214        0   103486
ATLANTIC PWR CORP            COM NEW          04878Q863     3520   235300 SH       SOLE                       0        0   235300
ATLANTIC TELE NETWORK INC    COM NEW          049079205     1044    24300 SH       SOLE                   24300        0        0
ATLAS ENERGY LP              COM UNITS LP     04930A104     4083   118212 SH       SOLE                       0        0   118212
ATLATSA RES CORP             COM              049477102        7    31700 SH       SOLE                   31700        0        0
ATMEL CORP                   COM              049513104     7001  1330954 SH       SOLE                      57        0  1330897
ATMOS ENERGY CORP            COM              049560105     4019   112300 SH       SOLE                  112300        0        0
ATRICURE INC                 COM              04963C209     1163   156300 SH       SOLE                  156300        0        0
ATRION CORP                  COM              049904105     1240     5600 SH       SOLE                    5600        0        0
ATWOOD OCEANICS INC          COM              050095108      464    10200 SH       SOLE                       0        0    10200
AU OPTRONICS CORP            SPONSORED ADR    002255107     1221   350734 SH       SOLE                   14362        0   336372
AUDIOCODES LTD               ORD              M15342104     3340  1330600 SH       SOLE                 1330600        0        0
AUGUSTA RES CORP             COM NEW          050912203       34    12500 SH       SOLE                       0        0    12500
AURICO GOLD INC              COM              05155C105     1501   214745 SH       SOLE                  214745        0        0
AURIZON MINES LTD            COM              05155P106    22903  4354100 SH       SOLE                 4354100        0        0
AUTHENTEC INC                COM              052660107     5064   631785 SH       SOLE                  345635        0   286150
AUTHENTIDATE HLDG CORP       COM NEW          052666203      170   132800 SH       SOLE                  132800        0        0
AUTOBYTEL INC                COM NEW          05275N205      833   220480 SH       SOLE                  220480        0        0
AUTOLIV INC                  COM              052800109     2683    43300 SH       SOLE                       0        0    43300
AUTOMATIC DATA PROCESSING IN COM              053015103     7379   125800 SH       SOLE                    6813        0   118987
AUTONAVI HLDGS LTD           SPONSORED ADR    05330F106     1882   163900 SH       SOLE                  163900        0        0
AUTOZONE INC                 COM              053332102   178698   483400 SH       SOLE                  246064        0   237336
AUXILIUM PHARMACEUTICALS INC COM              05334D107    22973   939191 SH       SOLE                  662672        0   276519
AV HOMES INC                 COM              00234P102      634    42700 SH       SOLE                   38500        0     4200
AVAGO TECHNOLOGIES LTD       SHS              Y0486S104    71146  2040600 SH       SOLE                 2040600        0        0
AVALONBAY CMNTYS INC         COM              053484101     7441    54714 SH       SOLE                     600        0    54114
AVERY DENNISON CORP          COM              053611109     7134   224200 SH       SOLE                    8356        0   215844
AVIAT NETWORKS INC           COM              05366Y102     1513   635915 SH       SOLE                  493235        0   142680
AVID TECHNOLOGY INC          COM              05367P100      139    14700 SH       SOLE                   14700        0        0
AVISTA CORP                  COM              05379B107     1328    51600 SH       SOLE                       0        0    51600
AVX CORP NEW                 COM              002444107     2735   285200 SH       SOLE                  126900        0   158300
AWARE INC MASS               COM              05453N100     1990   315884 SH       SOLE                  295622        0    20262
AXIS CAPITAL HOLDINGS INV    SHS              G0692U109     1358    38900 SH       SOLE                       0        0    38900
AXT INC                      COM              00246W103      108    31867 SH       SOLE                     200        0    31667
AZZ INC                      COM              002474104     3342    88000 SH       SOLE                   83200        0     4800
B/E AEROSPACE INC            COM              073302101     7007   166406 SH       SOLE                       0        0   166406
BADGER METER INC             COM              056525108      706    19400 SH       SOLE                    1882        0    17518
BAKER MICHAEL CORP           COM              057149106     3627   152000 SH       SOLE                  150400        0     1600
BALCHEM CORP                 COM              057665200     4793   130500 SH       SOLE                  130500        0        0
BALDWIN & LYONS INC          CL B             057755209     1619    67700 SH       SOLE                   67000        0      700
BALLANTYNE STRONG INC        COM              058516105      540   129500 SH       SOLE                  129500        0        0
BALLARD PWR SYS INC NEW      COM              058586108       88   122000 SH       SOLE                   56700        0    65300
